payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,B2792,NA,NA,NA,NA,NA,4
2023,B3320,NA,NA,NA,NA,NA,135
2023,B3321,NA,NA,NA,NA,NA,135
2023,B3322,NA,NA,NA,NA,NA,135
2023,B3323,NA,NA,NA,NA,NA,135
2023,B3324,NA,NA,NA,NA,NA,130
2023,B371,NA,NA,NA,NA,NA,6
2023,B375,NA,NA,NA,NA,NA,3
2023,B376,NA,NA,NA,NA,NA,135
2023,B377,NA,NA,NA,NA,NA,2
2023,B377,NA,NA,NA,NA,NA,6
2023,B3781,NA,NA,NA,NA,NA,6
2023,B380,NA,NA,NA,NA,NA,163
2023,B381,NA,NA,NA,NA,NA,163
2023,B382,NA,NA,NA,NA,NA,163
2023,B384,NA,NA,NA,NA,NA,3
2023,B390,NA,NA,NA,NA,NA,163
2023,B391,NA,NA,NA,NA,NA,163
2023,B392,NA,NA,NA,NA,NA,163
2023,B400,NA,NA,NA,NA,NA,163
2023,B401,NA,NA,NA,NA,NA,163
2023,B402,NA,NA,NA,NA,NA,163
2023,B4081,NA,NA,NA,NA,NA,3
2023,B410,NA,NA,NA,NA,NA,163
2023,B4281,NA,NA,NA,NA,NA,3
2023,B4282,NA,NA,NA,NA,NA,55
2023,B431,NA,NA,NA,NA,NA,3
2023,B440,NA,NA,NA,NA,NA,6
2023,B441,NA,NA,NA,NA,NA,6
2023,B442,NA,NA,NA,NA,NA,6
2023,B447,NA,NA,NA,NA,NA,6
2023,B4481,NA,NA,NA,NA,NA,162
2023,B4489,NA,NA,NA,NA,NA,6
2023,B449,NA,NA,NA,NA,NA,6
2023,B450,NA,NA,NA,NA,NA,6
2023,B451,NA,NA,NA,NA,NA,6
2023,B452,NA,NA,NA,NA,NA,6
2023,B453,NA,NA,NA,NA,NA,6
