payment_year,hcpcs_cpt_code,included_flag
2023,24430,yes
2023,24435,yes
2023,24470,yes
2023,24495,yes
2023,24498,yes
2023,24500,yes
2023,24505,yes
2023,24515,yes
2023,24516,yes
2023,24530,yes
2023,24535,yes
2023,24538,yes
2023,24545,yes
2023,24546,yes
2023,24560,yes
2023,24565,yes
2023,24566,yes
2023,24575,yes
2023,24576,yes
2023,24577,yes
2023,24579,yes
2023,24582,yes
2023,24586,yes
2023,24587,yes
2023,24600,yes
2023,24605,yes
2023,24615,yes
2023,24620,yes
2023,24635,yes
2023,24640,yes
2023,24650,yes
2023,24655,yes
2023,24665,yes
2023,24666,yes
2023,24670,yes
2023,24675,yes
2023,24685,yes
2023,24800,yes
2023,24802,yes
2023,24900,yes
2023,24920,yes
2023,24925,yes
2023,24930,yes
2023,24931,yes
2023,24935,yes
2023,24940,yes
2023,24999,yes
2023,25000,yes
2023,25001,yes
2023,25020,yes
2023,25023,yes
2023,25024,yes
2023,25025,yes
2023,25028,yes
2023,25031,yes
2023,25035,yes
2023,25040,yes
2023,25071,yes
2023,25073,yes
2023,25075,yes
2023,25076,yes
2023,25077,yes
2023,25078,yes
2023,25085,yes
2023,25100,yes
2023,25101,yes
2023,25105,yes
2023,25107,yes
2023,25109,yes
2023,25110,yes
2023,25111,yes
2023,25112,yes
2023,25115,yes
2023,25116,yes
2023,25118,yes
2023,25119,yes
2023,25120,yes
2023,25125,yes
2023,25126,yes
2023,25130,yes
2023,25135,yes
2023,25136,yes
2023,25145,yes
2023,25150,yes
2023,25151,yes
2023,25170,yes
2023,25210,yes
2023,25215,yes
2023,25230,yes
2023,25240,yes
2023,25248,yes
2023,25250,yes
2023,25251,yes
2023,25259,yes
2023,25260,yes
2023,25263,yes
2023,25265,yes
2023,25270,yes
2023,25272,yes
2023,25274,yes
2023,25275,yes
2023,25280,yes
2023,25290,yes
2023,25295,yes
2023,25300,yes
2023,25301,yes
2023,25310,yes
2023,25312,yes
2023,25315,yes
2023,25316,yes
2023,25320,yes
2023,25332,yes
2023,25335,yes
2023,25337,yes
2023,25350,yes
2023,25355,yes
2023,25360,yes
2023,25365,yes
2023,25370,yes
2023,25375,yes
2023,25390,yes
2023,25391,yes
2023,25392,yes
2023,25393,yes
2023,25394,yes
2023,25400,yes
2023,25405,yes
2023,25415,yes
2023,25420,yes
2023,25425,yes
2023,25426,yes
2023,25430,yes
2023,25431,yes
2023,25440,yes
2023,25441,yes
2023,25442,yes
2023,25443,yes
2023,25444,yes
2023,25445,yes
2023,25446,yes
2023,25447,yes
2023,25449,yes
2023,25450,yes
2023,25455,yes
2023,25490,yes
2023,25491,yes
2023,25492,yes
2023,25500,yes
2023,25505,yes
2023,25515,yes
2023,25520,yes
2023,25525,yes
2023,25526,yes
2023,25530,yes
2023,25535,yes
2023,25545,yes
2023,25560,yes
2023,25565,yes
2023,25574,yes
2023,25575,yes
2023,25600,yes
2023,25605,yes
2023,25606,yes
2023,25607,yes
2023,25608,yes
2023,25609,yes
2023,25622,yes
2023,25624,yes
2023,25628,yes
2023,25630,yes
2023,25635,yes
2023,25645,yes
2023,25650,yes
2023,25651,yes
2023,25652,yes
2023,25660,yes
2023,25670,yes
2023,25671,yes
2023,25675,yes
2023,25676,yes
2023,25680,yes
2023,25685,yes
2023,25690,yes
2023,25695,yes
2023,25800,yes
2023,25805,yes
2023,25810,yes
2023,25820,yes
2023,25825,yes
2023,25830,yes
2023,25900,yes
2023,25905,yes
2023,25907,yes
2023,25909,yes
2023,25915,yes
2023,25920,yes
2023,25922,yes
2023,25924,yes
2023,25927,yes
2023,25929,yes
2023,25931,yes
2023,25999,yes
2023,26010,yes
2023,26011,yes
2023,26020,yes
2023,26025,yes
2023,26030,yes
2023,26034,yes
2023,26035,yes
2023,26037,yes
2023,26040,yes
2023,26045,yes
2023,26055,yes
2023,26060,yes
2023,26070,yes
2023,26075,yes
2023,26080,yes
2023,26100,yes
2023,26105,yes
2023,26110,yes
2023,26111,yes
2023,26113,yes
2023,26115,yes
2023,26116,yes
2023,26117,yes
2023,26118,yes
2023,26121,yes
2023,26123,yes
2023,26130,yes
2023,26135,yes
2023,26140,yes
2023,26145,yes
2023,26160,yes
2023,26170,yes
2023,26180,yes
2023,26185,yes
2023,26200,yes
2023,26205,yes
2023,26210,yes
2023,26215,yes
2023,26230,yes
2023,26235,yes
2023,26236,yes
2023,26250,yes
2023,26260,yes
2023,26262,yes
2023,26320,yes
2023,26340,yes
2023,26341,yes
2023,26350,yes
2023,26352,yes
2023,26356,yes
2023,26357,yes
2023,26358,yes
2023,26370,yes
2023,26372,yes
2023,26373,yes
2023,26390,yes
2023,26392,yes
2023,26410,yes
2023,26412,yes
2023,26415,yes
2023,26416,yes
2023,26418,yes
2023,26420,yes
2023,26426,yes
2023,26428,yes
2023,26432,yes
2023,26433,yes
2023,26434,yes
2023,26437,yes
2023,26440,yes
2023,26442,yes
2023,26445,yes
2023,26449,yes
2023,26450,yes
2023,26455,yes
2023,26460,yes
2023,26471,yes
2023,26474,yes
2023,26476,yes
2023,26477,yes
2023,26478,yes
2023,26479,yes
2023,26480,yes
2023,26483,yes
2023,26485,yes
2023,26489,yes
2023,26490,yes
2023,26492,yes
2023,26494,yes
2023,26496,yes
2023,26497,yes
2023,26498,yes
2023,26499,yes
2023,26500,yes
2023,26502,yes
2023,26508,yes
2023,26510,yes
2023,26516,yes
2023,26517,yes
2023,26518,yes
2023,26520,yes
2023,26525,yes
2023,26530,yes
2023,26531,yes
2023,26535,yes
2023,26536,yes
2023,26540,yes
2023,26541,yes
2023,26542,yes
2023,26545,yes
2023,26546,yes
2023,26548,yes
2023,26550,yes
2023,26551,yes
2023,26553,yes
2023,26554,yes
2023,26555,yes
2023,26556,yes
2023,26560,yes
2023,26561,yes
2023,26562,yes
2023,26565,yes
2023,26567,yes
2023,26568,yes
2023,26580,yes
2023,26587,yes
2023,26590,yes
2023,26591,yes
2023,26593,yes
2023,26596,yes
2023,26600,yes
2023,26605,yes
2023,26607,yes
2023,26608,yes
2023,26615,yes
2023,26641,yes
2023,26645,yes
2023,26650,yes
2023,26665,yes
2023,26670,yes
2023,26675,yes
2023,26676,yes
2023,26685,yes
2023,26686,yes
2023,26700,yes
2023,26705,yes
2023,26706,yes
2023,26715,yes
2023,26720,yes
2023,26725,yes
2023,26727,yes
2023,26735,yes
2023,26740,yes
2023,26742,yes
2023,26746,yes
2023,26750,yes
2023,26755,yes
2023,26756,yes
2023,26765,yes
2023,26770,yes
2023,26775,yes
2023,26776,yes
2023,26785,yes
2023,26820,yes
2023,26841,yes
2023,26842,yes
2023,26843,yes
2023,26844,yes
2023,26850,yes
2023,26852,yes
2023,26860,yes
2023,26862,yes
2023,26910,yes
2023,26951,yes
2023,26952,yes
2023,26989,yes
2023,26990,yes
2023,26991,yes
2023,26992,yes
2023,27000,yes
2023,27001,yes
2023,27003,yes
2023,27005,yes
2023,27006,yes
2023,27025,yes
2023,27027,yes
2023,27030,yes
2023,27033,yes
2023,27035,yes
2023,27036,yes
2023,27043,yes
2023,27045,yes
2023,27047,yes
2023,27048,yes
2023,27049,yes
2023,27050,yes
2023,27052,yes
2023,27054,yes
2023,27057,yes
2023,27059,yes
2023,27060,yes
2023,27062,yes
2023,27065,yes
2023,27066,yes
2023,27067,yes
2023,27070,yes
2023,27071,yes
2023,27075,yes
2023,27076,yes
2023,27077,yes
2023,27078,yes
2023,27080,yes
2023,27086,yes
2023,27087,yes
2023,27090,yes
2023,27091,yes
2023,27096,yes
2023,27097,yes
2023,27098,yes
2023,27100,yes
2023,27105,yes
2023,27110,yes
2023,27111,yes
2023,27120,yes
2023,27122,yes
2023,27125,yes
2023,27130,yes
2023,27132,yes
2023,27134,yes
2023,27137,yes
2023,27138,yes
2023,27140,yes
2023,27146,yes
2023,27147,yes
2023,27151,yes
2023,27156,yes
2023,27158,yes
2023,27161,yes
2023,27165,yes
2023,27170,yes
